"","item_definition","Age_Months","Percentage_Knowing"
"721","motorcycle","16",0.02
"722","motorcycle","17",0.06
"723","motorcycle","18",0.07
"724","motorcycle","19",0.13
"725","motorcycle","20",0.12
"726","motorcycle","21",0.19
"727","motorcycle","22",0.29
"728","motorcycle","23",0.36
"729","motorcycle","24",0.43
"730","motorcycle","25",0.47
"731","motorcycle","26",0.54
"732","motorcycle","27",0.54
"733","motorcycle","28",0.75
"734","motorcycle","29",0.66
"735","motorcycle","30",0.7
"736","sled","16",0.01
"737","sled","17",0.04
"738","sled","18",0.06
"739","sled","19",0.07
"740","sled","20",0.1
"741","sled","21",0.13
"742","sled","22",0.15
"743","sled","23",0.19
"744","sled","24",0.19
"745","sled","25",0.22
"746","sled","26",0.23
"747","sled","27",0.3
"748","sled","28",0.35
"749","sled","29",0.33
"750","sled","30",0.33
"751","stroller","16",0.05
"752","stroller","17",0.07
"753","stroller","18",0.12
"754","stroller","19",0.19
"755","stroller","20",0.19
"756","stroller","21",0.23
"757","stroller","22",0.26
"758","stroller","23",0.41
"759","stroller","24",0.47
"760","stroller","25",0.54
"761","stroller","26",0.55
"762","stroller","27",0.6
"763","stroller","28",0.79
"764","stroller","29",0.62
"765","stroller","30",0.7
"766","tractor","16",0.07
"767","tractor","17",0.08
"768","tractor","18",0.12
"769","tractor","19",0.18
"770","tractor","20",0.22
"771","tractor","21",0.25
"772","tractor","22",0.33
"773","tractor","23",0.38
"774","tractor","24",0.45
"775","tractor","25",0.48
"776","tractor","26",0.52
"777","tractor","27",0.52
"778","tractor","28",0.71
"779","tractor","29",0.6
"780","tractor","30",0.62
"781","train","16",0.11
"782","train","17",0.17
"783","train","18",0.24
"784","train","19",0.36
"785","train","20",0.47
"786","train","21",0.46
"787","train","22",0.55
"788","train","23",0.66
"789","train","24",0.76
"790","train","25",0.79
"791","train","26",0.82
"792","train","27",0.81
"793","train","28",0.93
"794","train","29",0.87
"795","train","30",0.9
"796","tricycle","16",0.01
"797","tricycle","17",0.02
"798","tricycle","18",0.03
"799","tricycle","19",0.05
"800","tricycle","20",0.08
"801","tricycle","21",0.07
"802","tricycle","22",0.13
"803","tricycle","23",0.16
"804","tricycle","24",0.19
"805","tricycle","25",0.25
"806","tricycle","26",0.26
"807","tricycle","27",0.28
"808","tricycle","28",0.46
"809","tricycle","29",0.31
"810","tricycle","30",0.38
"811","truck","16",0.27
"812","truck","17",0.3
"813","truck","18",0.39
"814","truck","19",0.52
"815","truck","20",0.56
"816","truck","21",0.59
"817","truck","22",0.67
"818","truck","23",0.74
"819","truck","24",0.78
"820","truck","25",0.85
"821","truck","26",0.85
"822","truck","27",0.86
"823","truck","28",0.95
"824","truck","29",0.89
"825","truck","30",0.89
"826","ball","16",0.73
"827","ball","17",0.77
"828","ball","18",0.84
"829","ball","19",0.89
"830","ball","20",0.93
"831","ball","21",0.93
"832","ball","22",0.93
"833","ball","23",0.92
"834","ball","24",0.95
"835","ball","25",0.97
"836","ball","26",0.94
"837","ball","27",0.97
"838","ball","28",0.99
"839","ball","29",0.95
"840","ball","30",0.96
"841","balloon","16",0.28
"842","balloon","17",0.39
"843","balloon","18",0.45
"844","balloon","19",0.59
"845","balloon","20",0.64
"846","balloon","21",0.65
"847","balloon","22",0.66
"848","balloon","23",0.76
"849","balloon","24",0.82
"850","balloon","25",0.87
"851","balloon","26",0.88
"852","balloon","27",0.89
"853","balloon","28",0.96
"854","balloon","29",0.91
"855","balloon","30",0.91
"856","bat","16",0.05
"857","bat","17",0.06
"858","bat","18",0.11
"859","bat","19",0.14
"860","bat","20",0.17
"861","bat","21",0.18
"862","bat","22",0.22
"863","bat","23",0.26
"864","bat","24",0.36
"865","bat","25",0.41
"866","bat","26",0.44
"867","bat","27",0.43
"868","bat","28",0.7
"869","bat","29",0.54
"870","bat","30",0.56
"871","block","16",0.13
"872","block","17",0.21
"873","block","18",0.28
"874","block","19",0.36
"875","block","20",0.4
"876","block","21",0.47
"877","block","22",0.51
"878","block","23",0.6
"879","block","24",0.6
"880","block","25",0.69
"881","block","26",0.71
"882","block","27",0.74
"883","block","28",0.87
"884","block","29",0.76
"885","block","30",0.77
"886","book","16",0.45
"887","book","17",0.55
"888","book","18",0.62
"889","book","19",0.71
"890","book","20",0.78
"891","book","21",0.79
"892","book","22",0.79
"893","book","23",0.83
"894","book","24",0.88
"895","book","25",0.9
"896","book","26",0.89
"897","book","27",0.92
"898","book","28",0.97
"899","book","29",0.93
"900","book","30",0.93
"901","bubbles","16",0.22
"902","bubbles","17",0.38
"903","bubbles","18",0.47
"904","bubbles","19",0.6
"905","bubbles","20",0.63
"906","bubbles","21",0.64
"907","bubbles","22",0.71
"908","bubbles","23",0.77
"909","bubbles","24",0.83
"910","bubbles","25",0.88
"911","bubbles","26",0.86
"912","bubbles","27",0.89
"913","bubbles","28",0.95
"914","bubbles","29",0.89
"915","bubbles","30",0.92
"916","chalk","16",0.02
"917","chalk","17",0.03
"918","chalk","18",0.05
"919","chalk","19",0.1
"920","chalk","20",0.12
"921","chalk","21",0.16
"922","chalk","22",0.22
"923","chalk","23",0.28
"924","chalk","24",0.33
"925","chalk","25",0.37
"926","chalk","26",0.41
"927","chalk","27",0.46
"928","chalk","28",0.61
"929","chalk","29",0.53
"930","chalk","30",0.58
"931","crayon","16",0.03
"932","crayon","17",0.09
"933","crayon","18",0.12
"934","crayon","19",0.26
"935","crayon","20",0.25
"936","crayon","21",0.33
"937","crayon","22",0.44
"938","crayon","23",0.47
"939","crayon","24",0.56
"940","crayon","25",0.67
"941","crayon","26",0.66
"942","crayon","27",0.69
"943","crayon","28",0.85
"944","crayon","29",0.78
"945","crayon","30",0.79
"946","doll","16",0.14
"947","doll","17",0.22
"948","doll","18",0.28
"949","doll","19",0.35
"950","doll","20",0.4
"951","doll","21",0.41
"952","doll","22",0.48
"953","doll","23",0.51
"954","doll","24",0.52
"955","doll","25",0.65
"956","doll","26",0.64
"957","doll","27",0.67
"958","doll","28",0.83
"959","doll","29",0.7
"960","doll","30",0.72
"961","game","16",0.01
"962","game","17",0.03
"963","game","18",0.06
"964","game","19",0.09
"965","game","20",0.11
"966","game","21",0.16
"967","game","22",0.24
"968","game","23",0.26
"969","game","24",0.33
"970","game","25",0.42
"971","game","26",0.45
"972","game","27",0.49
"973","game","28",0.71
"974","game","29",0.61
"975","game","30",0.69
"976","glue","16",0
"977","glue","17",0.02
"978","glue","18",0.02
"979","glue","19",0.04
"980","glue","20",0.05
"981","glue","21",0.06
"982","glue","22",0.1
"983","glue","23",0.1
"984","glue","24",0.14
"985","glue","25",0.2
"986","glue","26",0.22
"987","glue","27",0.3
"988","glue","28",0.48
"989","glue","29",0.36
"990","glue","30",0.46
"991","pen","16",0.04
"992","pen","17",0.09
"993","pen","18",0.1
